core,variant,mode,rounds,key_bits,sbox_bits,sboxes_per_block,latency_cycles,initiation_interval_cycles,architecture
present_80_r16_area,present-80-r16,area,16,80,4,16,256,257,serialized-sbox-rolling-key
present_80_r16_speed,present-80-r16,speed,16,80,4,16,32,1,streaming-sbox-linear-pipeline
present_80_lin444_297_r7_area,present-80-lin444-297-r7,area,7,80,4,16,112,113,serialized-sbox-rolling-key
present_80_lin444_297_r7_speed,present-80-lin444-297-r7,speed,7,80,4,16,14,1,streaming-sbox-linear-pipeline
cipher_D_area,cipher-D,area,8,576,8,8,64,65,serialized-sbox-rolling-key
cipher_D_speed,cipher-D,speed,8,576,8,8,16,1,streaming-sbox-linear-pipeline
cipher_D_lin444_297_r5_area,cipher-D-lin444-297-r5,area,5,384,8,8,40,41,serialized-sbox-rolling-key
cipher_D_lin444_297_r5_speed,cipher-D-lin444-297-r5,speed,5,384,8,8,10,1,streaming-sbox-linear-pipeline
cipher_D_lin444_297_aes_r5_area,cipher-D-lin444-297-aes-r5,area,5,384,8,8,40,41,serialized-sbox-rolling-key
cipher_D_lin444_297_aes_r5_speed,cipher-D-lin444-297-aes-r5,speed,5,384,8,8,20,1,streaming-aes-4stage-round-pipeline
